method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_full,2,PCA_full,2,0.4241859740675103,0.005153722911400699,4135.464468022982,0.15287668957498496,0.23472391610326415,0.03910994529724121
PCA_full,2,PCA_full,3,0.42325223749629026,0.004313069438337585,3064.5050338427804,0.14726824109975326,0.26395689235724773,0.042618513107299805
PCA_full,2,PCA_full,4,0.38774807174713155,0.005533237721595769,2283.49012158639,0.14129083748740695,0.28950640611090295,0.03958439826965332
PCA_full,2,PCA_full,5,0.3878203353310498,0.011591834314896503,1695.4963155536968,0.11485342686954528,0.2968037840439089,0.043694496154785156
PCA_full,2,PCA_full,6,0.39273428183375664,0.008450437888626048,1426.5961562692648,0.1532863862297988,0.3468596482594622,0.04353046417236328
PCA_full,2,PCA_full,7,0.3901765420349743,0.010427551759806196,1203.7296020595227,0.15185511659588108,0.3871823866013779,0.04942059516906738
PCA_full,2,PCA_full,8,0.3964699083231244,0.009242797156480544,1025.1572263352916,0.14450936473527135,0.3705553278636818,0.059136390686035156
PCA_full,3,PCA_full,2,0.3550981278268591,0.014769891233956388,6146.344970237891,0.17245574330670627,0.27633906035918265,0.026482582092285156
PCA_full,3,PCA_full,3,0.3112609066553006,0.009088834604851685,4781.055683664831,0.3268760907504363,0.4727060896998466,0.027133464813232422
PCA_full,3,PCA_full,4,0.3474458491132061,0.012915320757722316,3726.6269336334985,0.2642879175590958,0.3970439519425069,0.04666399955749512
PCA_full,3,PCA_full,5,0.3276940246253262,0.012907563059094011,3123.550820020407,0.2222692180767747,0.37695569877501983,0.037743330001831055
PCA_full,3,PCA_full,6,0.3317714957264813,0.01412481723563572,2651.0030839935216,0.18641023722218064,0.3959065628473333,0.041359901428222656
PCA_full,3,PCA_full,7,0.3280207545394756,0.017646628412113837,2311.578202174509,0.24495635761845988,0.4879599547196788,0.043813467025756836
PCA_full,3,PCA_full,8,0.32620367924502075,0.017066069317800397,2105.692070380631,0.24922823626260548,0.48843817401971085,0.05033612251281738
PCA_full,4,PCA_full,2,0.31326631212481043,0.015346931140749243,7985.661907603112,0.18293789086742732,0.2881399823980693,0.02806878089904785
PCA_full,4,PCA_full,3,0.25869862380432246,0.007921238674410542,6606.767106222352,0.3191425841891569,0.44871197344427066,0.03142833709716797
PCA_full,4,PCA_full,4,0.296534055170605,0.009525436188803795,5460.155986281788,0.29865291545382083,0.45456149297727744,0.03720402717590332
PCA_full,4,PCA_full,5,0.2703032242090789,0.009931123288452935,4809.347111378361,0.19882436596349845,0.3791522499407105,0.040398597717285156
PCA_full,4,PCA_full,6,0.2783311660457824,0.01863177239897632,4326.11493222765,0.20220031521369636,0.4130055174908137,0.03591609001159668
PCA_full,4,PCA_full,7,0.29982994856983386,0.013140848077811528,3894.57942344623,0.2555749995986321,0.48523834297005514,0.041220664978027344
PCA_full,4,PCA_full,8,0.29514637205953653,0.011474851800788125,3521.9889682462262,0.28178543777560844,0.5113179951294269,0.041319847106933594
PCA_full,5,PCA_full,2,0.2902892040165714,0.01801700085441492,9710.698035279736,0.18293789086742732,0.28813998239806937,0.021140336990356445
PCA_full,5,PCA_full,3,0.25611491389220614,0.01922051966414204,8309.317289947105,0.28080425285541344,0.4393859132685782,0.03634166717529297
PCA_full,5,PCA_full,4,0.260023017722686,0.007309615455051462,7155.538075496428,0.29196523043542316,0.452182013865315,0.029736042022705078
PCA_full,5,PCA_full,5,0.27005662768300376,0.009051895382268605,6181.249663906485,0.29865291545382083,0.45456149297727744,0.026987552642822266
PCA_full,5,PCA_full,6,0.2642989770973356,0.02709688564533418,5391.347809867289,0.21464682528348233,0.4057623930229057,0.034964799880981445
PCA_full,5,PCA_full,7,0.2700537304689753,0.028384051868613418,4901.620700082761,0.21893566322478158,0.42769224041129517,0.0376582145690918
PCA_full,5,PCA_full,8,0.28226477267040284,0.020317404080378243,4453.3839036027775,0.27980121331512614,0.5074396912752127,0.040520668029785156
