MonthName,0,1
Jan,0.8617021276595744,0.13829787234042554
Feb,0.5058823529411764,0.49411764705882355
Mar,0.10752688172043011,0.8924731182795699
Apr,0.14444444444444443,0.8555555555555555
May,0.21505376344086022,0.7849462365591398
Jun,0.022222222222222223,0.9777777777777777
Jul,0.0,1.0
Aug,0.053763440860215055,0.946236559139785
Sep,0.03333333333333333,0.9666666666666667
Oct,0.44086021505376344,0.5591397849462365
Nov,0.9333333333333333,0.06666666666666667
Dec,0.7311827956989247,0.26881720430107525
