Method,n_components,k_clusters,Silhouette,Dunn_Index
PCA_randomized,4,3,0.2587104578875629,0.007917751267373613
PCA_randomized,4,4,0.2965338923886347,0.009519689709759496
PCA_randomized,4,5,0.27010893336968833,0.016851332826315214
PCA_randomized,4,6,0.2784669961567034,0.01861596815252637
PCA_randomized,4,7,0.30167873233029324,0.013096816169489775
PCA_randomized,4,8,0.29510427463224714,0.01143058095843588
GRP,4,2,0.2865196338902955,0.009427120887863766
GRP,4,3,0.29903863023565447,0.010497355036644274
GRP,4,4,0.22567297876061337,0.012050442481493942
GRP,4,5,0.2619666898682426,0.012715866097547882
GRP,4,6,0.2771339765622868,0.015272094168616886
GRP,4,7,0.27335327780539814,0.013893774882051242
GRP,4,8,0.2798277420611166,0.019545866395868406
SRP,4,2,0.34613905946138795,0.00475554982576516
SRP,4,3,0.26056203261100136,0.012814748889404218
SRP,4,4,0.2338063318908735,0.00917214506396765
SRP,4,5,0.2637013864517603,0.010999249842579247
SRP,4,6,0.2713523803426643,0.009626375280101322
SRP,4,7,0.26833213977606885,0.012781547519197403
SRP,4,8,0.2692006611162318,0.015571196943702147
PCA_full,5,2,0.2902892040165714,0.01801700085441492
PCA_full,5,3,0.25611491389220614,0.01922051966414204
PCA_full,5,4,0.260023017722686,0.007309615455051462
PCA_full,5,5,0.27005662768300376,0.009051895382268605
PCA_full,5,6,0.2642989770973356,0.02709688564533418
PCA_full,5,7,0.2700537304689753,0.028384051868613418
PCA_full,5,8,0.28226477267040284,0.020317404080378243
PCA_randomized,5,2,0.2902812622493825,0.01800559474026807
PCA_randomized,5,3,0.2561044761704589,0.019211415985093412
PCA_randomized,5,4,0.2583252917702948,0.007280833737241494
PCA_randomized,5,5,0.2700082155739194,0.009040294594991042
PCA_randomized,5,6,0.2642896380899187,0.027100561253327923
PCA_randomized,5,7,0.26866765842498125,0.028524256357074302
PCA_randomized,5,8,0.2822673964551162,0.020319012790202887
GRP,5,2,0.26949241552164616,0.009290484536748099
GRP,5,3,0.28724591382483433,0.012916139766963923
GRP,5,4,0.28613932826874505,0.014395582206286957
GRP,5,5,0.2446479326253615,0.015934842341612167
GRP,5,6,0.2624360791016315,0.013595681402178832
GRP,5,7,0.25382641949156515,0.013595681402178832
GRP,5,8,0.2606246205143004,0.017931576721995707
SRP,5,2,0.3181362869569709,0.025528779084475567
SRP,5,3,0.229196515857084,0.009489527262198072
SRP,5,4,0.22696269985044282,0.015558608825829495
SRP,5,5,0.23875236860733623,0.009713007931910867
SRP,5,6,0.23748932039708845,0.018363451909533167
SRP,5,7,0.2454637597951795,0.019500027356555018
SRP,5,8,0.26233415666583054,0.01840619292525092
PCA_full,6,2,0.26801820099911255,0.019474445398443705
PCA_full,6,3,0.22485052165392413,0.008255075755247431
PCA_full,6,4,0.2322189143672595,0.007300646742769693
PCA_full,6,5,0.24178847243788754,0.01007350197182392
PCA_full,6,6,0.2428066677963587,0.01007350197182392
PCA_full,6,7,0.2618147643577948,0.01007350197182392
PCA_full,6,8,0.29216772407793334,0.011040688331893084
PCA_randomized,6,2,0.268013671404113,0.01951201925652275
PCA_randomized,6,3,0.22484015955902933,0.008252433439102789
PCA_randomized,6,4,0.233563900210293,0.00729842008870366
PCA_randomized,6,5,0.24177825817384335,0.010070171898987772
PCA_randomized,6,6,0.24280040276467377,0.010070171898987772
PCA_randomized,6,7,0.26181907184199366,0.010070171898987772
PCA_randomized,6,8,0.2921691130691772,0.011036929390882607
GRP,6,2,0.25493911543181386,0.009726326241222808
GRP,6,3,0.24905323652886052,0.009263028825682255
GRP,6,4,0.2555627076740152,0.01311110987803163
GRP,6,5,0.267731162502143,0.01311110987803163
GRP,6,6,0.22739670290661387,0.009073134676696636
GRP,6,7,0.22232905926606125,0.0130594368300931
GRP,6,8,0.22855369304278783,0.01649254912437342
SRP,6,2,0.25840606205077116,0.01710651659309114
SRP,6,3,0.24684170454794924,0.018495909887131103
SRP,6,4,0.22148580695302283,0.010328749871365546
SRP,6,5,0.22664363262235895,0.012229867610805087
SRP,6,6,0.22427578659769942,0.02728490068635292
SRP,6,7,0.2276053421232193,0.024751689941910154
SRP,6,8,0.20944001709203497,0.038871591271347636
PCA_full,7,2,0.25351478489039436,0.018113870110933763
PCA_full,7,3,0.19640196971374477,0.008404232555271517
PCA_full,7,4,0.21444699600856187,0.007589391663079396
PCA_full,7,5,0.22295192217633542,0.008329934675359538
PCA_full,7,6,0.23359952558201472,0.009685811029777149
PCA_full,7,7,0.24066857472579495,0.009918881196457474
PCA_full,7,8,0.26978888706124926,0.00979919193972972
PCA_randomized,7,2,0.2535260713042356,0.018127140976139808
PCA_randomized,7,3,0.22122944660786575,0.021914310293776145
PCA_randomized,7,4,0.2144696963918399,0.007590299428081938
PCA_randomized,7,5,0.2229730805573439,0.00832995324676275
PCA_randomized,7,6,0.23368740941822716,0.009686629181604633
PCA_randomized,7,7,0.24059619111187047,0.009918775828027429
PCA_randomized,7,8,0.27176335935757334,0.009686629181604633
GRP,7,2,0.22108138776812727,0.009758291455645106
GRP,7,3,0.23368886103490763,0.01085966001229561
GRP,7,4,0.24705982699383897,0.013218700807299883
GRP,7,5,0.2335790206824984,0.013219859138449317
GRP,7,6,0.21615797595320851,0.009458929896842674
GRP,7,7,0.22037518371551668,0.0191024031334059
GRP,7,8,0.220011982577241,0.018328362492591038
SRP,7,2,0.2282813649797505,0.01694342071912751
SRP,7,3,0.22143734210163232,0.015671915814213993
SRP,7,4,0.19016250730683745,0.02294551644398168
SRP,7,5,0.21389860359357898,0.017594997311782212
SRP,7,6,0.2160488541301597,0.015849001059100885
